address	status	summary	evidence
103c8b7c	reviewed	Write a complete stdio buffer while waiting through zero-progress writes	Pseudocode and stream-error handling
103c8bd8	reviewed	Write a complete file-descriptor buffer while retrying interruption and zero progress	Pseudocode and errno-four branch
103c8c38	reviewed	Flush one valid file descriptor to storage	Pseudocode and fsync wrapper
103c8c6c	reviewed	Open a non-null path with stock mode flags and permissions 0666	Pseudocode and exact permission literal
103c8ca0	reviewed	Close one valid file descriptor and normalize its error result	Pseudocode and close wrapper
103c8d40	reviewed	Copy a file using a 4,096-byte buffer and flush the destination	Pseudocode, 63-byte path limit and no end-to-end checksum
103c8f0c	reviewed	Recursively remove directory contents while preserving dot entries	Pseudocode, stat-based recursion and unlink/rmdir calls
103c5dbc	reviewed	Calculate lowercase MD5 text for a file using the software hash context	Pseudocode, 32-character output and observed four-byte read chunks
103c5bb4	reviewed	Start installation only when /emmc/ota.zip exists, then clear OTA-active state	Pseudocode, exact path and upgrade HAL call
103c5c68	modeled	Parse a four-part firmware version and decide whether it is newer than V1.6.88 build threshold	Pseudocode, component-wise comparisons and compatible version policy
103c5d20	reviewed	Resume an OTA only when its verification identity matches the current transfer	Pseudocode, saved state, temporary path and file-size lookup
103c5f80	reviewed	Queue completed OTA verification or installation as asynchronous request type eight	Pseudocode and async request layout
103c5fcc	modeled	Initialize or resume /emmc/ota.zip reception and persist the target firmware version	Pseudocode, exact path, offset bounds, completion shortcut and staging HAL
103c60f4	modeled	Append bounded OTA blocks, flush every block and queue completion at exact size	Pseudocode, length accounting, failure cleanup and compatible receive state
103e9ee8	reviewed	Calculate MD5 with the initialized NuttX security engine	Pseudocode and hash init/update/final chain
103e9fc4	reviewed	Factory-recover by formatting /dev/mmcsd1 as FAT at /emmc and erasing the 64-KiB DTIOT section	Pseudocode, exact device/path and destructive operation log
103ea1d4	reviewed	Flush /emmc/ota.zip and all filesystems before requesting board reset mode four	Pseudocode, three global syncs and two-second reboot delay
103ea37c	reviewed	Put SD/MMC card zero into sleep and classify controller error codes	Pseudocode and hal_sdmmc_sleep_card call
103ea430	reviewed	Wake SD/MMC card zero and classify controller error codes	Pseudocode and hal_sdmmc_awake_card call
103ea4e4	reviewed	Enable the low-level debug serial switch	Pseudocode and boolean-one driver call
103ea500	reviewed	Disable the low-level debug serial switch	Pseudocode and boolean-zero driver call
103c5276	reviewed	Drain queued 32-byte light events and invoke each event callback on the UI thread	Pseudocode, queue loop and event ownership
103c5348	reviewed	Initialize the light-event queue, mutex and 8-KiB worker thread	Pseudocode and exact thread parameters
103c53b0	reviewed	Filter light events against alarm/audio/activation state and enqueue accepted events	Pseudocode, event-specific debounce and queue record layout
103c54f0	reviewed	Translate light event IDs into LED channels, blink timing and activation-dependent feedback	Pseudocode, full switch and driver calls
103dd654	modeled	Start the recording display timer and clear accumulated seconds	Pseudocode and compatible display state
103dd6b4	modeled	Stop the recording display timer and finalize elapsed whole seconds	Pseudocode and compatible display state
103dd714	modeled	Pause the recording display timer and add its elapsed whole seconds	Pseudocode and compatible display state
103dd76c	modeled	Resume the recording display timer from a new monotonic timestamp	Pseudocode and compatible display state
103ddac8	reviewed	Prepare a missing diagnostic display bitmap from one of three built-in test-image definitions	Pseudocode, three-path loop and 12-KiB image buffer
103e04f0	reviewed	Request the private-status icon while preserving the previously displayed state	Pseudocode, mutex and pending-state fields
101c3f20	reviewed	Erase, write and read-back-verify one 4-KiB primary or backup factory section	Pseudocode, section IDs nine/ten and exact size
101c3ff0	reviewed	Copy the in-memory primary factory section to backup flash	Pseudocode, IRQ-protected 4-KiB copy and section-ten write
101c406c	reviewed	Copy the in-memory backup factory section to primary flash	Pseudocode, IRQ-protected 4-KiB copy and section-nine write
101c411c	reviewed	Validate factory-section magic, version and CRC and select the usable primary or backup image	Pseudocode, v1/v2 layouts and fallback selection
101c456c	reviewed	Build default factory calibration data and persist identical primary and backup copies	Pseudocode, default field writes and dual-section save
101c5244	reviewed	Register factory partitions, align the 64-KiB DTIOT area and repair mirrored factory data	Pseudocode, section IDs nine through eleven and recovery branches
1022687c	reviewed	Update one of nine factory calibration field groups, recompute CRC and persist primary flash	Pseudocode, field switch zero through eight and section-nine write
103cc598	reviewed	Return corp-authorized transport provisioning as AES-encrypted device identity JSON	Pseudocode, corpId gate, devkey/SN/secret plaintext and code/info/mac/dev_serv_id response fields
103d241a	modeled	Pack a live database record as flags, 40-bit big-endian FID and 16-bit big-endian duration	Pseudocode and compatible audio-index codec
103d2454	modeled	Decode flags, 40-bit FID and duration from one eight-byte database record	Pseudocode and compatible audio-index codec
103d2492	modeled	Extract the 40-bit FID from one packed database record	Pseudocode and compatible audio-index codec
103d24c4	modeled	Tombstone a live database record by setting its high flag bit	Pseudocode and compatible audio-index codec
103d24d8	reviewed	Find the cached segment whose FID range contains a target	Pseudocode and binary-search bounds
103d2544	reviewed	Find a target FID inside one ascending packed-record segment	Pseudocode and 40-bit comparison
103d2594	reviewed	Read and decode the FID of one record at a database file offset	Pseudocode and eight-byte read
103d25e8	reviewed	Write and flush one packed record at a database file offset	Pseudocode and eight-byte write
103d2640	modeled	Load and cache one 8,000-byte audio-index segment on demand	Pseudocode and compatible segment geometry
103d2700	modeled	Request index compaction above 10,000 physical rows when tombstones exceed live rows	Pseudocode and compatible compaction predicate
103d27e8	modeled	Persist the big-endian live-record count and opaque four-byte database format marker	Pseudocode and compatible audio-index header codec
103d283c	reviewed	Print the packed and decoded contents of an audio-index segment	Pseudocode and diagnostic output loop
103ca7d8	reviewed	Return registered device information during binding and advance initial bind state when appropriate	Pseudocode, device-info callback and bind-state transition
103cab40	reviewed	Build activation provisioning from devkey, serial number and secret, AES-encrypt it, and return info, MAC and service ID	Pseudocode, plaintext field names, encryption call and response schema
103cae14	reviewed	Accept activation identity fields, persist them through device-service callbacks and initialize the activated device	Pseudocode, devId/encUid/corpId/time/activeCode fields and state transition
103cb068	reviewed	Perform privileged binding reset by clearing identity state, acknowledging, recovering storage and rebooting	Pseudocode, authorization branch, response ordering and recovery calls
103cb108	reviewed	Forward the BLE authentication result to the registered binding callback	Pseudocode and single callback dispatch
103cd44c	reviewed	Validate the connected DID and close the Wi-Fi access point for a BLE close-AP request	Pseudocode, DID check, AP destroy call and response codes
103ce4f4	reviewed	Stop the BLE binding service and update advertising lifecycle counters	Pseudocode, service stop call and counter update
103cf594	reviewed	Validate and store a device name shorter than 32 bytes	Pseudocode and fixed-size destination boundary
103cfbf4	reviewed	Allocate and populate the device-service module object and callback table	Pseudocode, 0xC4-byte allocation and vtable assignments
103cfdd4	reviewed	Initialize the device service exactly once through its first module callback	Pseudocode and one-shot initialization guard
103dba08	reviewed	Disconnect the currently cached BLE connection through the HAL	Pseudocode, connection-info lookup and HAL disconnect call
103dbe24	reviewed	Maintain the single BLE connection record, UI and audio state across connect and disconnect events	Pseudocode, 56-byte connection cache, AP teardown, sync cancellation and advertising restart
103db5ec	reviewed	Update BLE advertising success and failure counters under the transport mutex	Pseudocode and counter branches
103db654	reviewed	Log the four BLE advertising lifecycle counters	Pseudocode and diagnostic format
103db864	reviewed	Return the one cached 56-byte BLE connection record when connected	Pseudocode and cached-record copy
103db90c	reviewed	Classify phone model prefixes and select model-specific BLE connection tuning	Pseudocode, prefix comparisons and parameter-adjust call
103dc3d4	reviewed	Select and apply BLE connection parameters from phone class, automatic-tuning policy and current link values	Pseudocode and parameter-update jump table
103dc514	reviewed	Report current BLE peer address, interval, latency and supervision timeout	Pseudocode and connection diagnostic fields
103dc5a8	reviewed	Cache the device serial number and MAC once with 32- and 18-byte limits	Pseudocode, one-shot guard and bounded copies
103e516c	reviewed	Accept Wi-Fi TCP clients and start one 8-KiB worker thread for each connection	Pseudocode, accept loop and client-thread creation
103e5286	reviewed	Read complete shared-protocol frames from a TCP client and dispatch only commands 0x0114 and 0x0115	Pseudocode, eight-byte header, 40-KiB receive buffer and dispatch switch
103e5574	reviewed	Create, bind and listen on the configured IPv4 TCP transfer port with backlog three	Pseudocode, socket lifecycle and server-thread start
103e56f4	reviewed	Stop the TCP transfer listener, signal its worker and release server state	Pseudocode, socket close, stop flag and thread cleanup
103e6d10	reviewed	Encode a response with the shared BLE frame codec and send the complete packet over TCP	Pseudocode, protocol-vtable calls and partial-send loop
103e6dc8	reviewed	Build a JSON response containing type and code and send it through the TCP response path	Pseudocode and JSON numeric fields
103e6e4c	modeled	Validate an OTA file header on TCP command 0x0114 and initialize resumable reception	Pseudocode, size/verify_code/attrs/version fields, ota@bin gate, error mapping and compatible staging service
103e7088	modeled	Validate a TCP 0x0115 OTA block header and CRC before appending its data	Pseudocode, four big-endian fields, CRC-32/BZIP2 call, type-zero gate and compatible decoder
103c6684	reviewed	Send the live-stream metadata header with FID, attrs, stream type, format version and optional sync/encryption fields	Pseudocode, exact JSON field literals and command 0x0116
103c688c	reviewed	Queue live audio fragments up to 200 bytes, timestamp them and drop the oldest entry above 50 queued frames	Pseudocode, 0xC8 length boundary, 50-entry ring and drop accounting
103c6b04	reviewed	Pack queued live-audio fragments into the binary 0x0117 body and append sequence metadata plus four-byte Z terminator	Pseudocode, byte writes, accumulated length and command send
103c6c4c	reviewed	Drain and batch live-audio fragments into requests, flushing at 10,000 bytes, 50 frames or frame-type boundaries	Pseudocode, queue loop and batching conditions
103c6d60	reviewed	Allocate the live-stream transport, queue, semaphore and 8-KiB sender thread	Pseudocode, 0x54C0-byte state and worker construction
103c6ab0	reviewed	Report live-stream FID, received/sent byte totals, dropped frames and current sequence	Pseudocode and diagnostic format
103d51d4	reviewed	Flush the recording cache in 1,024-byte writes, sync it, patch the container header and add or update the audio index	Pseudocode, chunk loop, fsync, header patch and five-second database threshold
103d5b58	reviewed	Start audio capture using the persisted algorithm mode, space policy and file-or-stream routing	Pseudocode, eight mode branches, 512-MiB cleanup threshold and 768-MiB minimum
103d7f3c	reviewed	Start voiceprint chat streaming only on a fully connected BLE session and when no conflicting feature runs	Pseudocode, connection-state five gate and conflict bit mask
103d8028	reviewed	Stop voiceprint chat streaming idempotently and publish the stopped state	Pseudocode, active flag, stop call and event notification
10233974	modeled	Queue an RMT IPC send record, publish the first list to the peer and retain later records on the pending list	Pseudocode, shared-list writes, peer doorbell call and compatible rmt_ipc channel
1024e470	modeled	Handle an RMT IPC RX interrupt, consume the peer send list, preserve a partially consumed message and complete receive flow control	Pseudocode, RX callback direction, peer list traversal and compatible rmt_ipc channel
1024e5d8	modeled	Handle an RMT IPC TX-complete interrupt, release active send slots and promote the pending list	Pseudocode, TX callback direction, send-slot lifecycle and compatible rmt_ipc channel
1024e6c8	modeled	Validate and open an RMT IPC channel, initialize shared state, install RX/TX vectors and enable TX-complete IRQ	Pseudocode, exact config offsets, diagnostic strings and compatible rmt_ipc open
1024eb68	modeled	Close an RMT IPC channel, disable both IRQs, clear local state and release its wake lock	Pseudocode, config callback use and compatible rmt_ipc close
1024ec38	modeled	Start RMT IPC receive IRQ delivery and resume a previously partial receive	Pseudocode, RX IRQ table access and compatible rmt_ipc start_receive
1024ecb0	modeled	Stop RMT IPC receive IRQ delivery while leaving the channel open	Pseudocode, RX IRQ table access and compatible rmt_ipc stop_receive
10241c6c	reviewed	Initialize the AP-to-M55C1 IPC doorbell bits for one channel	Exact same-chip hal_m55c0_2_m55c1 object match: hal_mcu2cp_irq_init
10241c8a	reviewed	Set the AP-to-M55C1 peer SEND_IND doorbell	Exact same-chip hal_m55c0_2_m55c1 object match: hal_mcu2cp_peer_tx_irq_set
10241d18	reviewed	Clear the local M55C1 RECV_DONE interrupt	MMIO writes, TX-complete handler caller and config slot 14
10241cba	reviewed	Acknowledge completion of an M55C1-to-AP receive	Exact same-chip hal_m55c0_2_m55c1 object match: hal_mcu2cp_rx_done_id32
10241cd2	reviewed	Read M55C1 IPC masked interrupt status for SEND_IND or RECV_DONE	Exact same-chip hal_m55c0_2_m55c1 object match: hal_mcu2cp_irq_active
10241d38	reviewed	Suspend the local M55C1 receive interrupt mask	MMIO clear write, RX handler entry and config slot 17
10241ca2	reviewed	Resume or retrigger the local M55C1 receive interrupt mask	MMIO set write, start-receive pending path and config slot 18
10241d0c	reviewed	Dispatch the M55C1 RX IRQ across enabled channels	NVIC enabled-bit scan and generic RX-handler call
10241d00	reviewed	Dispatch the M55C1 TX-complete IRQ across enabled channels	NVIC enabled-bit scan and generic TX-handler call
10241d58	reviewed	Initialize the AP-to-DSPC0 IPC doorbell bits for one channel	Exact same-chip hal_m55c0_2_dspc0 object match: hal_mcu2cp_irq_init
10241d72	reviewed	Set the AP-to-DSPC0 peer SEND_IND doorbell	Exact same-chip hal_m55c0_2_dspc0 object match: hal_mcu2cp_peer_tx_irq_set
10241df4	reviewed	Clear the local DSPC0 RECV_DONE interrupt	MMIO writes, TX-complete handler caller and config slot 14
10241d9e	reviewed	Acknowledge completion of a DSPC0-to-AP receive	Exact same-chip hal_m55c0_2_dspc0 object match: hal_mcu2cp_rx_done_id32
10241db2	reviewed	Read DSPC0 IPC masked interrupt status for SEND_IND or RECV_DONE	Exact same-chip hal_m55c0_2_dspc0 object match: hal_mcu2cp_irq_active
10241e10	reviewed	Suspend the local DSPC0 receive interrupt mask	MMIO clear write, RX handler entry and config slot 17
10241d86	reviewed	Resume or retrigger the local DSPC0 receive interrupt mask	MMIO set write, start-receive pending path and config slot 18
10241de8	reviewed	Dispatch the DSPC0 RX IRQ across enabled channels	NVIC enabled-bit scan and generic RX-handler call
10241ddc	reviewed	Dispatch the DSPC0 TX-complete IRQ across enabled channels	NVIC enabled-bit scan and generic TX-handler call
10241f76	reviewed	Initialize the AP-to-BTHC0 IPC doorbell and mask bits for one channel	Exact same-chip hal_m55c0_2_bthc0 object match: hal_sys2bth_irq_init
10241fae	reviewed	Set the AP-to-BTHC0 peer SEND_IND doorbell	Exact same-chip hal_m55c0_2_bthc0 object match: hal_sys2bth_peer_tx_irq_set
10242086	reviewed	Clear the local BTHC0 RECV_DONE interrupt	MMIO writes, TX-complete handler caller and config slot 14
10242058	reviewed	Acknowledge completion of a BTHC0-to-AP receive	Dual-domain MMIO writes, RX handler terminal path and config slot 15
10241fda	reviewed	Read BTHC0 IPC masked interrupt status for SEND_IND or RECV_DONE	Exact same-chip hal_m55c0_2_bthc0 object match: hal_sys2bth_irq_active
1024203c	reviewed	Suspend the local BTHC0 receive interrupt mask	Exact same-chip hal_m55c0_2_bthc0 object match: hal_sys2bth_rx_irq_suspend
10241fc6	reviewed	Resume or retrigger the local BTHC0 receive interrupt mask	Exact same-chip hal_m55c0_2_bthc0 object match: hal_sys2bth_rx_irq_resume
10242010	reviewed	Dispatch the BTHC0 RX IRQ across enabled channels	NVIC enabled-bit scan and generic RX-handler call
10242004	reviewed	Dispatch the BTHC0 TX-complete IRQ across enabled channels	NVIC enabled-bit scan and generic TX-handler call
10240764	reviewed	Select the BEST1700 RMT IPC configuration table for a validated core/channel	Exact same-chip object match: hal_rmt_ipc_get_cfg
1024e43c	reviewed	Report whether a selected RMT IPC channel has active or pending transmit work	Exact same-chip object match: _rmt_ipc_tx_busy
1024ee40	reviewed	Return the peer-advertised RPTUN resource-table range after validating the RMT endpoint	Exact same-chip object match: hal_rmt_ipc_get_rsc_table
1024c11c	reviewed	Enable the GPIO-key interrupt edge selected by the current debounced key state	Exact same-chip object match: hal_gpiokey_enable_irq
10256e28	reviewed	Restore USB device clocks and PHY state from the wake path	Exact same-chip object match: hal_usb_wakeup
10256ec0	reviewed	Reset all active USB endpoint transfer bookkeeping	Exact same-chip object match: hal_usb_reset_all_transfers
10256ef4	reviewed	Program an endpoint-zero IN transfer for USB control responses	Exact same-chip object match: hal_usb_send_ep0
1025703c	reviewed	Program an endpoint-zero OUT transfer for USB control requests	Exact same-chip object match: hal_usb_recv_ep0
1025843c	reviewed	Disable USB IRQ and PHY/controller state during device close	Exact same-chip object match: hal_usb_close
